[27-Oct-2015 17:09:21 Europe/Berlin] PHP Notice:  Undefined variable: query_turmas in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 17:09:21 Europe/Berlin] PHP Fatal error:  Cannot access empty property in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 17:09:48 Europe/Berlin] PHP Notice:  Undefined property: turma::$select_by_curso in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 17:09:48 Europe/Berlin] PHP Notice:  Undefined variable: query_turmas in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 17:09:48 Europe/Berlin] PHP Notice:  Trying to get property of non-object in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 17:09:48 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, null given in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 17:12:26 Europe/Berlin] PHP Notice:  Undefined variable: query_turmas in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 17:12:27 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, null given in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 17:13:05 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 17:16:04 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 17:19:26 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 17:20:07 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 54
[27-Oct-2015 17:21:04 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 54
[27-Oct-2015 17:22:26 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 54
[27-Oct-2015 17:23:03 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 54
[27-Oct-2015 17:23:40 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 17:23:40 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 54
[27-Oct-2015 17:24:48 Europe/Berlin] PHP Notice:  Undefined variable: Curso in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 17:24:48 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 17:25:04 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 17:25:29 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 17:26:21 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 17:27:38 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 20:01:18 Europe/Berlin] PHP Notice:  Undefined index: editar_aluno in C:\xampp\htdocs\site_novo\formandos.php on line 254
[27-Oct-2015 20:03:39 Europe/Berlin] PHP Notice:  Undefined index: editar_aluno in C:\xampp\htdocs\site_novo\formandos.php on line 254
[27-Oct-2015 20:04:53 Europe/Berlin] PHP Notice:  Undefined index: editar_aluno in C:\xampp\htdocs\site_novo\formandos.php on line 254
[27-Oct-2015 20:05:48 Europe/Berlin] PHP Notice:  Undefined index: editar_aluno in C:\xampp\htdocs\site_novo\formandos.php on line 254
[27-Oct-2015 20:06:17 Europe/Berlin] PHP Notice:  Undefined index: editar_aluno in C:\xampp\htdocs\site_novo\formandos.php on line 254
[27-Oct-2015 20:07:00 Europe/Berlin] PHP Notice:  Undefined index: #editar_aluno in C:\xampp\htdocs\site_novo\formandos.php on line 254
[27-Oct-2015 20:08:11 Europe/Berlin] PHP Notice:  Undefined index: #editar_aluno in C:\xampp\htdocs\site_novo\formandos.php on line 254
[27-Oct-2015 20:09:09 Europe/Berlin] PHP Notice:  Undefined index: editar_aluno in C:\xampp\htdocs\site_novo\formandos.php on line 254
[27-Oct-2015 20:21:39 Europe/Berlin] PHP Notice:  Undefined index: editar_aluno in C:\xampp\htdocs\site_novo\formandos.php on line 254
[27-Oct-2015 20:22:21 Europe/Berlin] PHP Notice:  Undefined index: editar_aluno in C:\xampp\htdocs\site_novo\formandos.php on line 254
[27-Oct-2015 20:22:41 Europe/Berlin] PHP Notice:  Undefined index: editar_aluno in C:\xampp\htdocs\site_novo\formandos.php on line 254
[27-Oct-2015 20:22:47 Europe/Berlin] PHP Notice:  Undefined index: editar_aluno in C:\xampp\htdocs\site_novo\formandos.php on line 254
[27-Oct-2015 20:23:21 Europe/Berlin] PHP Notice:  Undefined index: editar_aluno in C:\xampp\htdocs\site_novo\formandos.php on line 254
[29-Oct-2015 13:02:28 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 266
[29-Oct-2015 13:02:28 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 266
[29-Oct-2015 13:02:28 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 266
[29-Oct-2015 13:02:28 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 266
[29-Oct-2015 13:02:28 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 266
[29-Oct-2015 13:02:28 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 266
[29-Oct-2015 17:40:30 Europe/Berlin] PHP Fatal error:  Call to undefined method aluno::edit() in C:\xampp\htdocs\site_novo\formandos.php on line 620
[29-Oct-2015 17:42:55 Europe/Berlin] PHP Notice:  Undefined variable: id_turma in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 51
[29-Oct-2015 18:11:43 Europe/Berlin] PHP Notice:  Undefined index: antigo_tg_pdf in C:\xampp\htdocs\site_novo\formandos.php on line 613
[29-Oct-2015 19:16:57 Europe/Berlin] PHP Notice:  Undefined index: antigo_tg_pdf in C:\xampp\htdocs\site_novo\formandos.php on line 613
[30-Oct-2015 15:18:09 Europe/Berlin] PHP Notice:  Undefined variable: busca_aluno in C:\xampp\htdocs\site_novo\formandos.php on line 411
[30-Oct-2015 15:18:09 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, null given in C:\xampp\htdocs\site_novo\formandos.php on line 411
[30-Oct-2015 15:18:53 Europe/Berlin] PHP Notice:  Undefined variable: busca_aluno in C:\xampp\htdocs\site_novo\formandos.php on line 411
[30-Oct-2015 15:18:53 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, null given in C:\xampp\htdocs\site_novo\formandos.php on line 411
